QUALITY,NFACUL,NGRADS,PCTSUPP,PCTGRT,NARTIC,PCTPUB
12,13,19,16,8,14,39
23,29,72,67,3,61,66
29,38,111,66,13,68,68
36,16,28,52,63,49,75
44,40,104,64,53,130,83
21,14,28,59,29,65,79
40,44,16,81,35,79,82
42,60,57,65,40,187,82
24,16,18,87,19,32,75
30,37,41,43,8,50,54
20,20,45,26,25,49,50
8,11,27,7,0,9,27
28,29,112,64,35,65,69
14,14,57,10,0,11,43
27,38,167,28,13,196,84
46,27,113,62,52,173,85
29,32,122,51,19,79,69
42,56,116,56,32,208,73
33,32,54,49,19,120,69
31,42,79,41,14,114,71
23,30,76,22,20,87,67
18,18,62,39,6,10,39
29,41,98,41,12,101,66
21,23,52,33,4,59,78
45,111,222,64,32,274,70
25,26,63,39,23,160,89
18,16,24,4,31,39,63
33,38,154,55,34,84,63
21,19,40,7,5,60,84
24,16,18,25,63,31,63
15,13,29,23,15,62,85
15,23,41,51,4,24,57
36,32,69,65,16,122,75
38,21,38,28,48,92,91
32,28,90,70,36,117,61
27,22,52,10,27,114,86
16,20,80,46,10,19,40
26,32,41,13,6,64,56
48,26,81,70,58,155,100
26,40,81,42,10,70,68
14,19,87,15,5,72,79
12,17,26,9,6,15,59
29,29,71,74,17,85,76
34,27,20,0,29,79,57
28,26,70,68,27,84,73
39,36,59,57,67,172,83
